NMEA|NMEA|NMEA|MSG|REPEAT|MMSI|SEQNO|DEST|RETRANS|DAC|FID|SUB
||!AIVDM,1,1,,B,602;bSh0Rr`t03H800@00@,4*00|6|0|2288271|0|2288271|0|0|54|
||!AIVDM,1,1,,B,602;bSh0Rr`v03H800@00@,4*02|6|0|2288271|0|2288271|1|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wp03H9q=6e2000,0*3F|6|1|2242174|0|2242174|0|0|54|
||!AIVDM,1,1,,A,6@28nOP0R=Wp03H9q=6e2000,0*3C|6|1|2242174|0|2242174|0|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wr03H9q=6e2000,0*3D|6|1|2242174|0|2242174|1|0|54|
||!AIVDM,1,1,,A,6@28nOP0R=Wr03H9q=6e2000,0*3E|6|1|2242174|0|2242174|1|0|54|
||!AIVDM,1,1,,A,602;bSh0Rr`t03H9004,2*30|6|0|2288271|0|2288271|0|0|54|
||!AIVDM,1,1,,A,602;bSh0Rr`v03H9004,2*32|6|0|2288271|0|2288271|1|0|54|
||!AIVDM,1,1,,A,6@28nOP0R=Wp03H0Ch2HJQCP0FP,2*55|6|1|2242174|0|2242174|0|0|54|
||!AIVDM,1,1,,A,6@28nOP0R=Wr03H0Ch2HJQCP0FP,2*57|6|1|2242174|0|2242174|1|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wr03H0Ch2HJQCP0FP,2*54|6|1|2242174|0|2242174|1|0|54|
||!AIVDM,1,1,,B,602;bSh0Rr`t03H:wwwL0000000,2*0F|6|0|2288271|0|2288271|0|0|54|
||!AIVDM,1,1,,B,602;bSh0Rr`v03H:wwwL0000000,2*0D|6|0|2288271|0|2288271|1|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wp03H100000000000,2*18|6|1|2242174|0|2242174|0|0|54|
||!AIVDM,1,1,,A,6@28nOP0R=Wp03H100000000000,2*1B|6|1|2242174|0|2242174|0|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wr03H100000000000,2*1A|6|1|2242174|0|2242174|1|0|54|
||!AIVDM,1,1,,A,602;bSh0Rr`t03H;1P7L0000,0*1E|6|0|2288271|0|2288271|0|0|54|
||!AIVDM,1,1,,A,602;bSh0Rr`v03H;1P7L0000,0*1C|6|0|2288271|0|2288271|1|0|54|
||!AIVDM,1,1,,A,6@28nOP0R=Wp03H20RwGUF8b11`O,0*1E|6|1|2242174|0|2242174|0|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wp03H20RwGUF8b11`O,0*1D|6|1|2242174|0|2242174|0|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wr03H20RwGUF8b11`O,0*1F|6|1|2242174|0|2242174|1|0|54|
||!AIVDM,1,1,,B,602;bSh0Rr`t03H<d>bbbbbbbb`,2*38|6|0|2288271|0|2288271|0|0|54|
||!AIVDM,1,1,,B,602;bSh0Rr`v03H<d>bbbbbbbb`,2*3A|6|0|2288271|0|2288271|1|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wp03H3M@143Jl4<02b,0*5D|6|1|2242174|0|2242174|0|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wr03H3M@143Jl4<02b,0*5F|6|1|2242174|0|2242174|1|0|54|
||!AIVDM,1,1,,A,602;bSh0Rr`t03H0D@26JC;<1Tl,2*0A|6|0|2288271|0|2288271|0|0|54|
||!AIVDM,1,1,,A,602;bSh0Rr`v03H0D@26JC;<1Tl,2*08|6|0|2288271|0|2288271|1|0|54|
||!AIVDM,1,1,,A,6@28nOP0R=Wp03H4L0183Q<0N02`,0*1B|6|1|2242174|0|2242174|0|0|54|
||!AIVDM,1,1,,B,6@28nOP0R=Wp03H4L0183Q<0N02`,0*18|6|1|2242174|0|2242174|0|0|54|
