NMEA|NMEA|NMEA|MSG|REPEAT|MMSI|DAC|FID|
|!AIVDM,2,1,7,B,8>k9g;P0Bjl2QdM5arVE10bjE@IP4@egwkSwwwwwwwwwwwwwwwwwwwww,0*19|!AIVDM,2,2,7,B,wwt,2*64|8|0|993161006|1|11|
||!AIVDM,1,1,,B,8>k9g;P0Bjl2QdM5arVE10bjE@IP4@egwkSwwwwwwwwwwwwwwwwwwwwwwwt,2*5B|8|0|993161006|1|11|
|!AIVDM,2,1,2,B,8>lEK5@0Bj8wi3Wh?bblP00000000000000000000000000000000000,0*04|!AIVDM,2,2,2,B,000,2*25|8|0|994401045|1|11|
|!AIVDM,2,1,3,B,8>lEJvP0Bj96WkWjHJblP00000000000000000000000000000000000,0*2C|!AIVDM,2,2,3,B,000,2*24|8|0|994401018|1|11|
|!AIVDM,2,1,2,A,8>lEU1h0Bj47bCe?qRbm000000000000000000000000000000000000,0*78|!AIVDM,2,2,2,A,000,2*26|8|0|994403591|1|11|
|!AIVDM,2,1,5,B,8>lEM;h0Bj03?Sco>2bm1i0W4hS5p0=T0000;D0000000000000000h0,0*51|!AIVDM,2,2,5,B,b00,2*70|8|0|994401583|1|11|
|!AIVDM,2,1,1,B,8>lEM:h0Bj0BgSd?l2bm0PUH0@PEH0=T0000Rn0000000000000000gP,0*71|!AIVDM,2,2,1,B,DP0,2*32|8|0|994401579|1|11|
|!AIVDM,2,1,6,A,8@2<HVh0BkJs3PW842VEP@@b1J`KOwe>wwwwwwwwwwwwwwwwwwwwwwww,0*2B|!AIVDM,2,2,6,A,wt0,2*21|8|1|2300059|1|11|
||!AIVDM,1,1,,A,8@2<HVh0BkJs3PW842VEP@@b1J`KOwe>wwwwwwwwwwwwwwwwwwwwwwwwwt0,2*2F|8|1|2300059|1|11|
|!AIVDM,2,1,0,A,8@2<HVh0BkJs3PW842VEP@@b1J`KOwe>wwwwwwwwwwwwwwwwwwwwwwww,0*2D|!AIVDM,2,2,0,A,wt0,2*27|8|1|2300059|1|11|
|!AIVDM,2,1,8,A,8@2<HVh0BkJs3PW842VEP@@b1J`KOwe>wwwwwwwwwwwwwwwwwwwwwwww,0*25|!AIVDM,2,2,8,A,wt0,2*2F|8|1|2300059|1|11|
|!AIVDM,2,1,6,A,8>lEJvP0Bj96WkWjHJblP00000000000000000000000000000000000,0*2A|!AIVDM,2,2,6,A,000,2*22|8|0|994401018|1|11|
|!AIVDM,2,1,7,A,8@2<HVh0BkQdbhW8wrVE10aK=jJ;wweFwwwwwwwwwwwwwwwwwwwwwwww,0*63|!AIVDM,2,2,7,A,wt0,2*20|8|1|2300059|1|11|
||!AIVDM,1,1,,A,8@2<HV@0BkK1dhau72VEQ0dbT2WtOweBwwwwwwwwwwwwwwwwwwwwwwwwwt0,2*6F|8|1|2300057|1|11|
|!AIVDM,2,1,1,A,8@2<HV@0BkK1dhau72VEQ0dbT2WtOweBwwwwwwwwwwwwwwwwwwwwwwww,0*6C|!AIVDM,2,2,1,A,wt0,2*26|8|1|2300057|1|11|
|!AIVDM,2,1,2,A,8@2<HV@0BkK1dhau72VEQ0dbT2WtOweBwwwwwwwwwwwwwwwwwwwwwwww,0*6F|!AIVDM,2,2,2,A,wt0,2*25|8|1|2300057|1|11|
|!AIVDM,2,1,3,A,8@2<HV@0BkK1dhau72VEQ0dbT2WtOweBwwwwwwwwwwwwwwwwwwwwwwww,0*6E|!AIVDM,2,2,3,A,wt0,2*24|8|1|2300057|1|11|
|!AIVDM,2,1,4,A,8@2<HV@0BkK1dhau72VEQ0dbT2WtOweBwwwwwwwwwwwwwwwwwwwwwwww,0*69|!AIVDM,2,2,4,A,wt0,2*23|8|1|2300057|1|11|
|!AIVDM,2,1,2,B,8@2<HV@0BkK1dhau72VEQ0dbT2WtOweBwwwwwwwwwwwwwwwwwwwwwwww,0*6C|!AIVDM,2,2,2,B,wt0,2*26|8|1|2300057|1|11|
|!AIVDM,2,1,1,A,8>lEU1h0Bj47bSe?qjbmP00000000000000000000000000000000000,0*33|!AIVDM,2,2,1,A,000,2*25|8|0|994403591|1|11|
|!AIVDM,2,1,1,B,8>lEM=00Bj08bCcq:bbm1@lERhO5p0<p000000000000000000000000,0*18|!AIVDM,2,2,1,B,000,2*26|8|0|994401588|1|11|
||!AIVDM,1,1,,A,8@2<HW@0BkhN`0dq32VEPhTq`rF8wwe>wwwwwwwwwwwwwwwwwwwwwwwwwt0,2*7C|8|1|2300061|1|11|
|!AIVDM,2,1,9,A,8@2<HW@0BkhN`0dq32VEPhTq`rF8wwe>wwwwwwwwwwwwwwwwwwwwwwww,0*77|!AIVDM,2,2,9,A,wt0,2*2E|8|1|2300061|1|11|
|!AIVDM,2,1,2,A,8@2<HW@0BkhN`0dq32VEPhTq`rF8wwe>wwwwwwwwwwwwwwwwwwwwwwww,0*7C|!AIVDM,2,2,2,A,wt0,2*25|8|1|2300061|1|11|
||!AIVDM,1,1,,A,8@2<HV@0BkLfrhhJWJVF2AI05rOqoweFwwwwwwwwwwwwwwwwwwwwwwwwwt0,2*71|8|1|2300057|1|11|
|!AIVDM,2,1,5,A,8@2<HV@0BkLfrhhJWJVF2AI05rOqoweFwwwwwwwwwwwwwwwwwwwwwwww,0*76|!AIVDM,2,2,5,A,wt0,2*22|8|1|2300057|1|11|
|!AIVDM,2,1,6,A,8@2<HV@0BkLfrhhJWJVF2AI05rOqoweFwwwwwwwwwwwwwwwwwwwwwwww,0*75|!AIVDM,2,2,6,A,wt0,2*21|8|1|2300057|1|11|
|!AIVDM,2,1,9,B,8@2<HV@0BkLfrhhJWJVF2AI05rOqoweFwwwwwwwwwwwwwwwwwwwwwwww,0*79|!AIVDM,2,2,9,B,wt0,2*2D|8|1|2300057|1|11|
|!AIVDM,2,1,4,B,8>lEM:h0Bj0BgSd?l2bm0PUH0@PEH0=T0000Rn0000000000000000gP,0*74|!AIVDM,2,2,4,B,DP0,2*37|8|0|994401579|1|11|
|!AIVDM,2,1,4,A,8@2<HVh0BkQdbhW8wrVF0hQC=JJ;wweFwwwwwwwwwwwwwwwwwwwwwwww,0*22|!AIVDM,2,2,4,A,wt0,2*23|8|1|2300059|1|11|
|!AIVDM,2,1,6,A,8@2<HVh0BkQdbhW8wrVF0hQC=JJ;wweFwwwwwwwwwwwwwwwwwwwwwwww,0*20|!AIVDM,2,2,6,A,wt0,2*21|8|1|2300059|1|11|
|!AIVDM,2,1,5,A,8@2<HVh0BkQdbhW8wrVF0hQC=JJ;wweFwwwwwwwwwwwwwwwwwwwwwwww,0*23|!AIVDM,2,2,5,A,wt0,2*22|8|1|2300059|1|11|
||!AIVDM,1,1,,A,8@2<HVh0BkQdbhW8wrVF0hQC=JJ;wweFwwwwwwwwwwwwwwwwwwwwwwwwwt0,2*24|8|1|2300059|1|11|
|!AIVDM,2,1,8,A,8@2<HVh0BkQdbhW8wrVF0hQC=JJ;wweFwwwwwwwwwwwwwwwwwwwwwwww,0*2E|!AIVDM,2,2,8,A,wt0,2*2F|8|1|2300059|1|11|
